iter	Passed	Remaining
0	8	8785
1	13	6738
2	18	6043
3	22	5673
4	27	5479
5	32	5353
6	36	5231
7	41	5085
8	45	4999
9	49	4943
10	54	4907
11	59	4858
12	63	4824
13	68	4801
14	73	4820
15	77	4792
16	82	4775
17	87	4752
18	91	4738
19	96	4711
20	100	4694
21	105	4681
22	109	4664
23	114	4653
24	123	4824
25	131	4925
26	142	5135
27	153	5326
28	158	5291
29	162	5251
30	168	5279
31	176	5328
32	180	5291
33	185	5256
34	189	5228
35	194	5201
36	198	5170
37	206	5220
38	216	5328
39	222	5347
40	227	5312
41	231	5289
42	236	5268
43	242	5267
44	246	5241
45	251	5218
46	255	5190
47	260	5165
48	264	5140
49	269	5113
50	273	5087
51	277	5065
52	282	5040
53	286	5018
54	290	4998
55	295	4975
56	299	4960
57	304	4941
58	310	4950
59	319	5006
60	329	5068
61	340	5149
62	352	5239
63	360	5268
64	367	5289
65	380	5377
66	387	5398
67	397	5452
68	430	5810
69	438	5819
70	446	5836
71	456	5883
72	466	5920
73	496	6210
74	504	6219
75	545	6637
76	559	6709
77	581	6875
78	589	6874
79	596	6856
80	613	6958
81	679	7611
82	700	7743
83	713	7781
84	718	7730
85	722	7677
86	726	7625
87	730	7574
88	735	7527
89	739	7481
90	748	7480
91	785	7754
92	790	7706
93	794	7660
94	817	7787
95	829	7814
96	846	7877
97	861	7928
98	867	7893
99	871	7847
100	877	7807
101	886	7801
102	890	7756
103	897	7731
104	906	7724
105	913	7705
106	918	7667
107	923	7623
108	928	7587
109	932	7546
110	936	7503
111	941	7463
112	963	7561
113	967	7520
114	971	7479
115	977	7447
116	981	7411
117	986	7373
118	1000	7407
119	1010	7408
120	1014	7371
121	1018	7331
122	1023	7295
123	1027	7259
124	1031	7223
125	1036	7189
126	1046	7192
127	1054	7181
128	1058	7149
129	1063	7117
130	1067	7083
131	1075	7071
132	1085	7074
133	1102	7124
134	1109	7107
135	1113	7074
136	1118	7042
137	1122	7012
138	1127	6981
139	1131	6951
140	1136	6926
141	1147	6931
142	1155	6926
143	1164	6923
144	1174	6924
145	1182	6919
146	1198	6955
147	1204	6932
148	1208	6902
149	1212	6873
150	1217	6844
151	1221	6816
152	1226	6788
153	1230	6760
154	1237	6746
155	1244	6732
156	1249	6710
157	1254	6684
158	1258	6658
159	1263	6635
160	1267	6606
161	1276	6605
162	1292	6637
163	1300	6628
164	1304	6603
165	1310	6584
166	1319	6579
167	1324	6560
168	1330	6539
169	1336	6525
170	1340	6500
171	1346	6481
172	1350	6457
173	1355	6432
174	1361	6419
175	1371	6421
176	1386	6448
177	1395	6442
178	1403	6438
179	1413	6438
180	1418	6419
181	1423	6397
182	1427	6374
183	1432	6351
184	1436	6329
185	1441	6307
186	1446	6286
187	1450	6263
188	1454	6242
189	1458	6219
190	1463	6197
191	1467	6176
192	1475	6168
193	1484	6169
194	1494	6170
195	1504	6171
196	1509	6152
197	1513	6132
198	1518	6111
199	1525	6102
200	1532	6091
201	1537	6073
202	1541	6053
203	1546	6033
204	1550	6013
205	1555	5993
206	1565	5998
207	1575	5999
208	1582	5988
209	1589	5980
210	1594	5960
211	1598	5940
212	1602	5922
213	1607	5903
214	1611	5884
215	1616	5866
216	1622	5853
217	1629	5845
218	1634	5830
219	1639	5812
220	1643	5793
221	1647	5774
222	1652	5756
223	1656	5738
224	1660	5720
225	1665	5704
226	1676	5709
227	1687	5713
228	1692	5698
229	1698	5684
230	1702	5668
231	1706	5650
232	1711	5633
233	1718	5624
234	1724	5614
235	1730	5602
236	1734	5585
237	1738	5567
238	1743	5550
239	1747	5534
240	1751	5517
241	1756	5500
242	1767	5505
243	1780	5516
244	1785	5501
245	1789	5485
246	1796	5475
247	1801	5461
248	1805	5445
249	1810	5432
250	1817	5423
251	1823	5411
252	1828	5398
253	1833	5383
254	1837	5367
255	1841	5351
256	1845	5336
257	1849	5319
258	1854	5306
259	1861	5298
260	1868	5290
261	1878	5290
262	1888	5290
263	1896	5287
264	1901	5273
265	1907	5264
266	1914	5256
267	1921	5247
268	1925	5233
269	1930	5218
270	1934	5203
271	1938	5189
272	1943	5174
273	1947	5160
274	1951	5145
275	1958	5137
276	1970	5143
277	1980	5143
278	1989	5142
279	1994	5129
280	1999	5115
281	2006	5109
282	2013	5102
283	2022	5097
284	2026	5084
285	2030	5070
286	2035	5057
287	2039	5043
288	2044	5029
289	2048	5015
290	2054	5006
291	2061	4998
292	2067	4988
293	2072	4976
294	2081	4975
295	2091	4974
296	2105	4984
297	2113	4978
298	2119	4968
299	2125	4959
300	2130	4947
301	2135	4934
302	2139	4920
303	2144	4909
304	2150	4900
305	2157	4893
306	2163	4883
307	2172	4881
308	2181	4878
309	2186	4865
310	2190	4853
311	2198	4846
312	2204	4837
313	2210	4829
314	2215	4816
315	2219	4804
316	2224	4793
317	2229	4782
318	2234	4770
319	2238	4757
320	2244	4747
321	2250	4739
322	2257	4731
323	2261	4719
324	2268	4711
325	2278	4710
326	2285	4703
327	2292	4696
328	2298	4686
329	2304	4679
330	2308	4666
331	2313	4655
332	2318	4643
333	2322	4631
334	2327	4619
335	2332	4609
336	2338	4601
337	2346	4594
338	2352	4587
339	2357	4575
340	2361	4563
341	2367	4555
342	2377	4554
343	2388	4554
344	2395	4547
345	2403	4542
346	2411	4538
347	2416	4527
348	2420	4515
349	2425	4503
