iter	RMSE
0	523.7243251
1	501.852662
2	480.7573932
3	460.7727107
4	442.1744589
5	424.0000338
6	406.9253165
7	390.7957347
8	375.6134001
9	361.3286107
10	347.6307554
11	334.9810477
12	323.2948557
13	311.8208095
14	301.3541836
15	291.720041
16	282.6186767
17	273.7288862
18	265.3957097
19	257.5589005
20	250.3564107
21	243.7196496
22	237.1153615
23	231.1005432
24	225.4850275
25	220.1884105
26	215.4822707
27	211.0072195
28	206.5584365
29	202.7151653
30	199.1049238
31	195.6630942
32	192.4174131
33	189.3628491
34	186.496141
35	183.9167785
36	181.2799931
37	178.8245908
38	176.7734593
39	174.9500785
40	173.0440002
41	171.163724
42	169.49485
43	167.5834108
44	165.8727945
45	164.4864444
46	163.3582244
47	162.2834287
48	161.2870296
49	160.1268753
50	158.6441969
51	157.5249988
52	156.726399
53	155.8208682
54	154.8458864
55	153.8436646
56	153.1370327
57	152.4595682
58	151.8874679
59	151.2626439
60	150.7245605
61	149.8644086
62	149.3515411
63	148.8229528
64	148.2226071
65	147.6644785
66	147.1684698
67	146.652782
68	146.0521377
69	145.6928914
70	145.0987896
71	144.5242455
72	144.0779518
73	143.6989952
74	143.2622247
75	143.0262919
76	142.5579752
77	142.2270568
78	142.0201047
79	141.8088756
80	141.4817326
81	141.1116087
82	140.6203517
83	140.310703
84	140.0953024
85	139.8239947
86	139.417989
87	139.0147348
88	138.8172803
89	138.5837245
90	138.2139058
91	137.8039011
92	137.6322071
93	137.316983
94	137.011643
95	136.7382371
96	136.6171849
97	136.3025709
98	135.9498403
99	135.8051993
100	135.6384882
101	135.3400141
102	135.0274311
103	134.6439908
104	134.5007098
105	134.21468
106	133.9065845
107	133.6791848
108	133.4085966
109	133.1857835
110	133.0274052
111	132.9383406
112	132.7219431
113	132.2623261
114	131.9820271
115	131.7990059
116	131.5188503
117	131.2973273
118	131.0824378
119	130.7878738
120	130.6931548
121	130.4884542
122	130.3305562
123	130.0678355
124	129.8994595
125	129.6861572
126	129.4827729
127	129.3228347
128	128.9463885
129	128.7926874
130	128.6372215
131	128.4106515
132	128.2429389
133	128.0055364
134	127.8495159
135	127.5083571
136	127.2447771
137	127.1528329
138	126.9216722
139	126.8314046
140	126.7160609
141	126.5202433
142	126.2703826
143	125.9890843
144	125.8324626
145	125.7499677
146	125.4921812
147	125.2526798
148	125.0844125
149	125.0138254
150	124.9111929
151	124.7803246
152	124.6122281
153	124.3634377
154	124.2090464
155	124.0634271
156	123.7819413
157	123.5263198
158	123.4450065
159	123.3541706
160	123.2759577
161	123.0968944
162	122.9264135
163	122.8800666
164	122.6564619
165	122.5101922
166	122.3493081
167	122.1281948
168	122.0396881
169	121.773293
170	121.5955672
171	121.4866773
172	121.4334105
173	121.285155
174	121.1063536
175	120.9956047
176	120.8943214
177	120.7601302
178	120.6151961
179	120.51519
180	120.3473325
181	120.103948
182	120.0372731
183	119.9240582
184	119.8035458
185	119.6524201
186	119.3988824
187	119.3043497
188	119.0849341
189	118.9194231
190	118.7719567
191	118.5637416
192	118.3611422
193	118.1712588
194	118.0057331
195	117.7506109
196	117.712873
197	117.6028618
198	117.4799461
199	117.3430533
200	117.2753498
201	117.2302578
202	117.0230229
203	116.8617975
204	116.6568113
205	116.5242523
206	116.4342565
207	116.3545441
208	116.1427639
209	116.0237968
210	115.8518388
211	115.7517767
212	115.5847194
213	115.4673934
214	115.4074596
215	115.2711908
216	115.1909112
217	115.0568059
218	114.8806097
219	114.7196488
220	114.5632038
221	114.4576297
222	114.3155878
223	114.1081152
224	113.9727632
225	113.8152294
226	113.6952573
227	113.5097157
228	113.3448688
229	113.20938
230	113.0578555
231	112.8683587
232	112.7972897
233	112.7502936
234	112.6740209
235	112.6355993
236	112.5897015
237	112.549207
238	112.4626048
239	112.2528047
240	112.1056128
241	111.9894542
242	111.8639416
243	111.7759718
244	111.7231043
245	111.6127424
246	111.4349384
247	111.2527579
248	111.0845486
249	110.9730104
250	110.8310701
251	110.7974013
252	110.6575295
253	110.5547576
254	110.4300455
255	110.3767336
256	110.3183313
257	110.2213705
258	110.0535055
259	109.9306231
260	109.8085858
261	109.7458863
262	109.6866454
263	109.6144222
264	109.5081423
265	109.4359385
266	109.3066531
267	109.1723096
268	109.1395309
269	109.0811112
270	109.0189761
271	108.9057975
272	108.8391318
273	108.7993053
274	108.6863106
275	108.5887953
276	108.53968
277	108.4051408
278	108.2658807
279	108.1412156
280	108.0390703
281	107.9159321
282	107.862392
283	107.8262254
284	107.7168753
285	107.6898598
286	107.5246203
287	107.4169337
288	107.3059639
289	107.2760274
290	107.192959
291	107.0814045
292	106.9790282
293	106.8719988
294	106.7966971
295	106.6816963
296	106.5699798
297	106.4336944
298	106.344823
299	106.2995384
300	106.2548339
301	106.2204919
302	106.1380326
303	106.0375521
304	105.9397771
305	105.8770752
306	105.7504419
307	105.6149585
308	105.4764959
309	105.451885
310	105.3682388
311	105.3207533
312	105.2668106
313	105.1476323
314	105.0211244
315	104.9621657
316	104.8496794
317	104.7531862
318	104.7075664
319	104.5643533
320	104.4950216
321	104.4397992
322	104.3938681
323	104.3287536
324	104.2868645
325	104.2441857
326	104.0749863
327	103.9464781
328	103.8154351
329	103.6955651
330	103.6583512
331	103.6138391
332	103.5614365
333	103.5247877
334	103.3763651
335	103.3278707
336	103.2218401
337	103.1317374
338	103.0634696
339	102.9393162
340	102.837979
341	102.7791108
342	102.7510588
343	102.7139628
344	102.6648972
345	102.5666892
346	102.5311281
347	102.5058367
348	102.4089934
349	102.3514564
350	102.3145478
351	102.205433
352	102.1276702
353	102.0247508
354	101.9729857
355	101.9137627
356	101.8152811
357	101.7766402
358	101.6933542
359	101.6104148
360	101.5668641
361	101.4901768
362	101.4345693
363	101.3241187
364	101.2243672
365	101.1484482
366	101.0739197
367	100.9118918
368	100.8438523
369	100.7987251
370	100.7628397
371	100.6844983
372	100.6336132
373	100.5956338
374	100.535723
375	100.4255834
376	100.353698
377	100.2669829
378	100.2399666
379	100.1441491
380	100.0834172
381	99.96399001
382	99.91887057
383	99.86081903
384	99.79634368
385	99.70308905
386	99.67414369
387	99.59838132
388	99.53686303
389	99.44786244
390	99.37852558
391	99.29403305
392	99.26167405
393	99.24048196
394	99.19531711
395	99.10075148
396	99.0117076
397	98.93515081
398	98.86973841
399	98.75255902
400	98.7028066
401	98.63722933
402	98.55405508
403	98.46948757
404	98.44639085
405	98.39628106
406	98.34362205
407	98.29695812
408	98.19649213
409	98.13723203
410	98.09286433
411	97.97153847
412	97.87936022
413	97.82962733
414	97.79350545
415	97.72692795
416	97.65169513
417	97.55561767
418	97.51056102
419	97.43923929
420	97.40202746
421	97.34871028
422	97.3167156
423	97.27428128
424	97.17055345
425	97.09927769
426	97.03654168
427	97.01367808
428	96.95532105
429	96.90153302
430	96.85453702
431	96.7891427
432	96.72453613
433	96.69456314
434	96.64389041
435	96.60812989
436	96.5686596
437	96.50908035
438	96.44610024
439	96.36091722
440	96.30244718
441	96.2095476
442	96.11680172
443	96.04772147
444	96.01306556
445	95.94871376
446	95.90540699
447	95.86316517
448	95.82173332
449	95.77609621
450	95.71470914
451	95.67024878
452	95.60671646
453	95.55201195
454	95.49040452
455	95.40003497
456	95.35558032
457	95.31520083
458	95.27667935
459	95.22762184
460	95.20549503
461	95.12200135
462	95.05825116
463	95.02985828
464	94.9677099
465	94.91483181
466	94.85783362
467	94.80886398
