iter	Passed	Remaining
411	2890	4125
412	2894	4114
413	2899	4104
414	2908	4099
415	2923	4104
416	2932	4100
417	2940	4093
418	2949	4090
419	2957	4084
420	2963	4075
421	2967	4064
422	2971	4053
423	2976	4043
424	2981	4033
425	2986	4023
426	2990	4013
427	2994	4002
428	2999	3992
429	3006	3985
430	3015	3980
431	3020	3970
432	3024	3960
433	3033	3956
434	3042	3952
435	3059	3958
436	3064	3948
437	3069	3938
438	3074	3928
439	3083	3923
440	3088	3915
441	3093	3905
442	3100	3898
443	3114	3900
444	3119	3890
445	3123	3880
446	3128	3870
447	3134	3862
448	3139	3852
449	3143	3842
450	3151	3836
451	3158	3829
452	3163	3819
453	3167	3809
454	3172	3799
455	3176	3789
456	3180	3779
457	3185	3769
458	3189	3759
459	3196	3751
460	3203	3745
461	3208	3735
462	3212	3726
463	3217	3716
464	3226	3712
465	3235	3708
466	3243	3701
467	3251	3696
468	3257	3688
469	3262	3678
470	3267	3670
471	3272	3660
472	3277	3651
473	3282	3642
474	3286	3632
475	3293	3625
476	3300	3619
477	3306	3610
478	3317	3607
479	3327	3604
480	3332	3595
481	3339	3588
482	3346	3582
483	3352	3574
484	3357	3564
485	3361	3555
486	3366	3546
487	3371	3537
488	3375	3527
489	3380	3517
490	3386	3510
491	3394	3504
492	3400	3496
493	3404	3486
494	3409	3477
495	3418	3473
496	3427	3469
497	3439	3466
498	3445	3459
499	3452	3452
500	3456	3442
501	3461	3433
502	3465	3424
503	3470	3415
504	3474	3405
505	3480	3397
506	3487	3390
507	3494	3384
508	3499	3375
509	3503	3366
510	3508	3357
511	3517	3352
512	3529	3350
513	3542	3349
514	3549	3342
515	3553	3333
516	3558	3324
517	3562	3315
518	3567	3306
519	3571	3297
520	3579	3290
521	3586	3284
522	3592	3276
523	3597	3267
524	3601	3258
525	3610	3253
526	3620	3249
527	3635	3250
528	3640	3241
529	3646	3233
530	3651	3224
531	3655	3215
532	3660	3206
533	3664	3197
534	3669	3188
535	3676	3182
536	3680	3173
537	3686	3165
538	3691	3157
539	3695	3148
540	3700	3139
541	3711	3135
542	3716	3127
543	3724	3122
544	3731	3115
545	3736	3106
546	3742	3099
547	3746	3090
548	3751	3082
549	3757	3073
550	3761	3064
551	3767	3057
552	3774	3050
553	3782	3045
554	3787	3036
555	3792	3028
556	3797	3020
557	3801	3011
558	3811	3006
559	3821	3002
560	3826	2994
561	3831	2985
562	3837	2978
563	3841	2969
564	3846	2961
565	3851	2952
566	3856	2944
567	3860	2936
568	3865	2927
569	3870	2919
570	3875	2911
571	3879	2902
572	3884	2894
573	3888	2886
574	3893	2877
575	3897	2869
576	3902	2860
577	3910	2855
578	3923	2852
579	3929	2845
580	3934	2837
581	3939	2829
582	3944	2821
583	3948	2812
584	3953	2804
585	3957	2796
586	3968	2792
587	3973	2784
588	3978	2775
589	3982	2767
590	3987	2759
591	3991	2751
592	4002	2746
593	4012	2742
594	4019	2735
595	4023	2727
596	4031	2721
597	4042	2717
598	4047	2709
599	4053	2702
600	4058	2694
601	4062	2686
602	4066	2677
603	4071	2669
604	4075	2660
605	4079	2652
606	4084	2644
607	4097	2642
608	4106	2636
609	4115	2631
610	4119	2622
611	4123	2614
612	4128	2606
613	4137	2600
614	4143	2594
615	4148	2586
616	4153	2578
617	4158	2570
618	4163	2562
619	4167	2554
620	4171	2546
621	4176	2538
622	4180	2529
623	4187	2523
624	4197	2518
625	4207	2513
626	4215	2507
627	4220	2499
628	4225	2492
629	4229	2484
630	4238	2478
631	4243	2470
632	4247	2462
633	4252	2454
634	4256	2446
635	4261	2438
636	4265	2430
637	4273	2424
638	4280	2418
639	4301	2419
640	4308	2413
641	4318	2408
642	4326	2402
643	4335	2396
644	4343	2390
645	4350	2384
646	4355	2376
647	4360	2368
648	4364	2360
649	4368	2352
650	4376	2346
651	4385	2340
652	4391	2333
653	4397	2326
654	4401	2318
655	4407	2311
656	4415	2305
657	4422	2298
658	4430	2292
659	4439	2286
660	4446	2280
661	4453	2273
662	4460	2267
663	4467	2260
664	4474	2254
665	4488	2250
666	4495	2244
667	4500	2236
668	4506	2229
669	4512	2222
670	4517	2215
671	4521	2207
672	4526	2199
673	4531	2191
674	4536	2184
675	4540	2176
676	4544	2168
677	4548	2160
678	4553	2152
679	4558	2145
680	4565	2138
681	4575	2133
682	4585	2128
683	4592	2121
684	4604	2117
685	4614	2111
686	4618	2104
687	4622	2096
688	4626	2088
689	4630	2080
690	4635	2072
691	4639	2064
692	4643	2057
693	4650	2050
694	4658	2044
695	4663	2036
696	4672	2031
697	4682	2025
698	4691	2020
699	4699	2014
700	4707	2007
701	4712	2000
702	4717	1993
703	4722	1985
704	4727	1978
705	4731	1970
706	4735	1962
707	4740	1954
708	4747	1948
709	4754	1941
710	4759	1934
711	4764	1927
712	4768	1919
